age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
0-4 yrs,30,High,14310.91,na,na,na,na,na,"$1,364.00 ",na,na,na,na,"$209,642.40 ",na,na,na,na,"$2,703.37 "
0-4 yrs,30,Non-high,209297.09,na,na,na,na,na,$135.98 ,na,na,na,na,"$1,001,817.00 ",na,na,na,na,"$11,840.56 "
0-4 yrs,30,All,223608,na,na,na,na,na,$214.58 ,na,na,na,na,"$394,839.99 ",na,na,na,na,"$4,985.41 "
5-19 yrs,30,High,40938.3,na,na,na,na,na,"$2,938.98 ",na,na,na,na,"$450,848.00 ",na,na,na,na,"$6,664.38 "
5-19 yrs,30,Non-high,598722.7,na,na,na,na,na,$255.27 ,na,na,na,na,"$1,879,115.00 ",na,na,na,na,"$25,155.29 "
5-19 yrs,30,All,639661,na,na,na,na,na,$427.03 ,na,na,na,na,"$784,465.22 ",na,na,na,na,"$11,320.30 "
20-64 yrs,30,High,321847.06,na,na,na,na,na,"$2,226.77 ",na,na,na,na,"$172,406.20 ",na,na,na,na,"$4,423.42 "
20-64 yrs,30,Non-high,1913201.94,na,na,na,na,na,$267.09 ,na,na,na,na,"$882,444.30 ",na,na,na,na,"$20,945.00 "
20-64 yrs,30,All,2235049,na,na,na,na,na,$549.29 ,na,na,na,na,"$259,223.48 ",na,na,na,na,"$6,585.70 "
65+ yrs,30,High,157981.7,na,na,na,na,na,"$4,982.39 ",na,na,na,na,"$189,288.50 ",na,na,na,na,"$13,202.63 "
65+ yrs,30,Non-high,150576.3,na,na,na,na,na,$598.47 ,na,na,na,na,"$173,130.10 ",na,na,na,na,"$11,872.01 "
65+ yrs,30,All,308558,na,na,na,na,na,"$2,843.04 ",na,na,na,na,"$187,490.97 ",na,na,na,na,"$13,052.35 "
All,30,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,30,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,30,All,3406876,na,na,na,na,na,$597.82 ,na,na,na,na,"$287,185.16 ",na,na,na,na,"$8,471.00 "
0-4 yrs,40,High,14310.91,na,na,na,na,na,"$1,400.95 ",na,na,na,na,"$215,322.60 ",na,na,na,na,"$2,776.60 "
0-4 yrs,40,Non-high,209297.09,na,na,na,na,na,$172.94 ,na,na,na,na,"$1,274,082.00 ",na,na,na,na,"$15,058.62 "
0-4 yrs,40,All,223608,na,na,na,na,na,$251.53 ,na,na,na,na,"$462,843.17 ",na,na,na,na,"$5,844.03 "
5-19 yrs,40,High,40938.3,na,na,na,na,na,"$2,955.17 ",na,na,na,na,"$453,331.80 ",na,na,na,na,"$6,701.10 "
5-19 yrs,40,Non-high,598722.7,na,na,na,na,na,$271.46 ,na,na,na,na,"$1,998,303.00 ",na,na,na,na,"$26,750.88 "
5-19 yrs,40,All,639661,na,na,na,na,na,$443.22 ,na,na,na,na,"$814,209.04 ",na,na,na,na,"$11,749.54 "
20-64 yrs,40,High,321847.06,na,na,na,na,na,"$2,266.67 ",na,na,na,na,"$175,495.10 ",na,na,na,na,"$4,502.68 "
20-64 yrs,40,Non-high,1913201.94,na,na,na,na,na,$306.99 ,na,na,na,na,"$1,014,253.00 ",na,na,na,na,"$24,073.51 "
20-64 yrs,40,All,2235049,na,na,na,na,na,$589.18 ,na,na,na,na,"$278,051.06 ",na,na,na,na,"$7,064.02 "
65+ yrs,40,High,157981.7,na,na,na,na,na,"$5,047.74 ",na,na,na,na,"$191,771.00 ",na,na,na,na,"$13,375.79 "
65+ yrs,40,Non-high,150576.3,na,na,na,na,na,$663.81 ,na,na,na,na,"$192,033.20 ",na,na,na,na,"$13,168.27 "
65+ yrs,40,All,308558,na,na,na,na,na,"$2,908.38 ",na,na,na,na,"$191,800.17 ",na,na,na,na,"$13,352.35 "
All,40,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,40,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,40,All,3406876,na,na,na,na,na,$628.83 ,na,na,na,na,"$303,219.33 ",na,na,na,na,"$8,928.90 "
0-4 yrs,50,High,14310.91,na,na,na,na,na,"$1,404.39 ",na,na,na,na,"$215,850.50 ",na,na,na,na,"$2,783.41 "
0-4 yrs,50,Non-high,209297.09,na,na,na,na,na,$176.38 ,na,na,na,na,"$1,299,386.00 ",na,na,na,na,"$15,357.70 "
0-4 yrs,50,All,223608,na,na,na,na,na,$254.97 ,na,na,na,na,"$469,163.38 ",na,na,na,na,"$5,923.83 "
5-19 yrs,50,High,40938.3,na,na,na,na,na,"$2,956.69 ",na,na,na,na,"$453,564.90 ",na,na,na,na,"$6,704.55 "
5-19 yrs,50,Non-high,598722.7,na,na,na,na,na,$272.98 ,na,na,na,na,"$2,009,487.00 ",na,na,na,na,"$26,900.60 "
5-19 yrs,50,All,639661,na,na,na,na,na,$444.74 ,na,na,na,na,"$817,000.23 ",na,na,na,na,"$11,789.82 "
20-64 yrs,50,High,321847.06,na,na,na,na,na,"$2,270.38 ",na,na,na,na,"$175,782.40 ",na,na,na,na,"$4,510.05 "
20-64 yrs,50,Non-high,1913201.94,na,na,na,na,na,$310.70 ,na,na,na,na,"$1,026,515.00 ",na,na,na,na,"$24,364.55 "
20-64 yrs,50,All,2235049,na,na,na,na,na,$592.89 ,na,na,na,na,"$279,802.60 ",na,na,na,na,"$7,108.52 "
65+ yrs,50,High,157981.7,na,na,na,na,na,"$5,053.86 ",na,na,na,na,"$192,003.60 ",na,na,na,na,"$13,392.01 "
65+ yrs,50,Non-high,150576.3,na,na,na,na,na,$669.93 ,na,na,na,na,"$193,804.10 ",na,na,na,na,"$13,289.71 "
65+ yrs,50,All,308558,na,na,na,na,na,"$2,914.50 ",na,na,na,na,"$192,203.88 ",na,na,na,na,"$13,380.46 "
All,50,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,50,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,50,All,3406876,na,na,na,na,na,$631.68 ,na,na,na,na,"$304,743.84 ",na,na,na,na,"$8,972.02 "
0-4 yrs,60,High,14310.91,na,na,na,na,na,"$1,404.39 ",na,na,na,na,"$215,850.80 ",na,na,na,na,"$2,783.41 "
0-4 yrs,60,Non-high,209297.09,na,na,na,na,na,$176.38 ,na,na,na,na,"$1,299,404.00 ",na,na,na,na,"$15,357.91 "
0-4 yrs,60,All,223608,na,na,na,na,na,$254.97 ,na,na,na,na,"$469,167.92 ",na,na,na,na,"$5,923.89 "
5-19 yrs,60,High,40938.3,na,na,na,na,na,"$2,956.69 ",na,na,na,na,"$453,565.20 ",na,na,na,na,"$6,704.55 "
5-19 yrs,60,Non-high,598722.7,na,na,na,na,na,$272.98 ,na,na,na,na,"$2,009,500.00 ",na,na,na,na,"$26,900.79 "
5-19 yrs,60,All,639661,na,na,na,na,na,$444.74 ,na,na,na,na,"$817,003.17 ",na,na,na,na,"$11,789.87 "
20-64 yrs,60,High,321847.06,na,na,na,na,na,"$2,270.38 ",na,na,na,na,"$175,782.70 ",na,na,na,na,"$4,510.06 "
20-64 yrs,60,Non-high,1913201.94,na,na,na,na,na,$310.70 ,na,na,na,na,"$1,026,527.00 ",na,na,na,na,"$24,364.84 "
20-64 yrs,60,All,2235049,na,na,na,na,na,$592.90 ,na,na,na,na,"$279,804.34 ",na,na,na,na,"$7,108.56 "
65+ yrs,60,High,157981.7,na,na,na,na,na,"$5,053.87 ",na,na,na,na,"$192,003.80 ",na,na,na,na,"$13,392.03 "
65+ yrs,60,Non-high,150576.3,na,na,na,na,na,$669.94 ,na,na,na,na,"$193,806.20 ",na,na,na,na,"$13,289.85 "
65+ yrs,60,All,308558,na,na,na,na,na,"$2,914.51 ",na,na,na,na,"$192,204.32 ",na,na,na,na,"$13,380.49 "
All,60,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,60,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,60,All,3406876,na,na,na,na,na,$631.69 ,na,na,na,na,"$304,745.54 ",na,na,na,na,"$8,972.08 "