,age,risk,pop.size,cost.diff,cases,cases.averted,cases.averted.rate,icer.case.averted,deaths,deaths.averted,deaths.averted.rate,icer.death.averted,dalys,dalys.rate,dalys.averted,dalys.averted.rate,icer.daly.averted
1,0-4,High,14310.91,1649841,1241.004,1222.19,8540.2663,1349.91,8.074,7.95193,55.566,207476.8,626.1414,4375.272541,616.6802,4309.16,2675.36
2,0-4,Non-high,209297.09,2178804,18149.68,17874.53,8540.2669,121.89,2.464,2.42625,1.159,898012.9,208.4655,99.6026642,205.2552,98.07,10615.1
3,0-4,All,223608,3828645,19390.684,19096.72,8540.267,200.49,10.538,10.37818,4.64,368912.91,834.6069,373.2455363,821.9354,367.58,4658.09
4,5-19,High,40938.3,23883781,8789.722,8146.534,19899.5396,2931.77,57.298,53.10539,129.721,449743.1,3876.2121,9468.42368,3592.623,8775.7,6648.01
5,5-19,Non-high,598722.7,29555213,128549.7,119143.1,19899.5463,248.06,17.463,16.18497,2.703,1826090,1304.4847,217.8779358,1209.0192,201.93,24445.61
6,5-19,All,639661,53438994,137339.422,127289.634,19899.546,419.82,74.761,69.29036,10.83,771232.74,5180.6967,809.9128634,4801.6422,750.65,11129.32
7,20-64,High,321847.06,58227765,26168.07,25581.26,7948.266,2276.19,337.983,330.4033,102.658,176232.4,13173.1332,4092.979252,12877.6973,4001.19,4521.6
8,20-64,Non-high,1913201.94,48130676,155554.6,152066.4,7948.2671,316.54,47.082,46.02656,2.406,1045715,1983.635,103.6814246,1939.1837,101.36,24820.07
9,20-64,All,2235049,106358441,181722.67,177647.66,7948.267,598.7,385.065,376.42986,16.84,282545.18,15156.7683,678.1403118,14816.881,662.93,7178.19
10,65+,High,157981.7,42918842,8777.236,8699.515,5506.6601,4933.48,231.032,228.9859,144.945,187430.1,3312.3425,2096.662,3283.0086,2078.0943,13073.02
11,65+,Non-high,150576.3,4556697,8365.804,8291.725,5506.6599,549.55,28.918,28.66231,19.035,158978.7,421.7098,280.064,417.9909,277.5941,10901.43
12,65+,All,308558,47475539,17143.04,16991.24,5506.66,2794.12,259.95,257.64821,83.5,184264.97,3734.0523,1210.1622,3700.9995,1199.450194,12827.76
13,All,High,535077.97,126680229,44976.032,43649.499,8157.596,2902.21,634.387,620.44652,115.9544136,204175.9,20987.8292,3922.387102,20370.0091,3806.923536,6218.96
14,All,Non-high,2871798.03,84421390,310619.784,297375.755,10355.03722,283.89,95.927,93.30009,3.248838845,904837.18,3918.295,136.4404793,3771.449,131.327097,22384.34
15,All,All,3406876,211101619,355595.816,341025.158,10009.911,619.02,730.314,713.74661,20.95,295765.49,24906.1242,731.0546143,24141.4581,708.6098261,8744.36